User ID,Sex,Age,FamilySize,YearsAtThisHome,MainHousehold,MonthlyIncome,MonthlyExpenses,ParticipatesInCommunity,SocialFabric,LoanOpinion, LoanSizeAvg , UpfrontPaymentAvg ,LoanPeriodMonths, MonthlyPayment ,NotPayBackLoan
07-059-0001-001,M,50,5,10,1,10000,5000,1,2,4,11620,11620,1,,0
12-012-0015-001,M,51,15,10,1,4000,3500,2,2,4,6408,6408,1,,0
04-003-0156-025,M,56,3,3.5,0,5000,4000,2,3,4,2225,1925,1,300,1
04-010-0001-001,M,32,3,10,1,3500,2500,2,3,4,4010,4010,1,,0
04-011-1143-019,F,25,3,10,1,3500,2000,2,3,4,3250,800,3.5,754,1
12-018-0001-001,F,59,2,1,0,8000,7000,2,2,5,5700,5700,1,,0
12-052-0001-009,M,49,4,10,0,7000,6000,1,3,4,6450,2750,2,2700,0
12-052-0001-013,M,38,5,10,0,18000,15000,1,3,4,3350,3350,1,,0
12-052-0008-001,M,38,4,3.5,0,6000,6000,1,2,4,6500,3050,2,2883,1
12-063-0005-002,M,59,4,10,1,5000,4000,2,3,4,6850,3250,1,3600,1
12-063-0008-004,M,45,6,10,1,5000,4500,2,3,4,4380,3055,2,472,1
30-109-0032-005,M,,4,10,1,5000,2500,1,2,3,2600,438,7.5,330,1
30-154-0097-001,M,50,5,10,0,50000,30000,2,3,4,9500,9500,1,,0
30-175-0170-004,M,,4,3.5,0,6500,4000,1,2,4,3375,2675,2,233,1
30-189-0714-019,F,33,4,10,1,8000,3000,1,2,4,3310,710,7.5,568,1
31-008-0001-001,M,40,4,10,0,8000,5000,2,3,4,7050,3900,1,3150,1
04-003-0105-001,M,36,3,10,1,3000,2300,2,3,5,1900,1900,1,,0
04-003-0291-011,M,40,5,10,1,4000,2500,2,3,4,2500,2500,1, ,0
04-003-0612-001,M,45,3,10,0,15000,10000,1,2,4,3835,3835,1, ,0
04-003-0614-001,M,38,4,10,1,4000,3000,1,3,4,5270,5270,1, ,0
04-003-0911-013,M,53,2,10,1,4000,2000,2,3,4,8900,3500,6,1100,1
04-003-0911-014,M,29,5,10,1,4000,2500,2,3,4,3265,1500,2,882,1
04-003-1564-014,F,56,3,10,1,5000,4000,1,3,5,7850,2000,3,1950,1
04-003-1564-017,M,43,5,10,1,4000,3000,2,3,5,5700,2000,3,1233,0
04-003-3304-001,M,34,5,10,1,4000,2800,2,3,4,2140,2140,1, ,0
04-003-3395-002,M,33,4,10,1,5000,3000,2,3,4,16500,15000,1,1500,1
04-003-3781-010,M,49,4,10,1,4000,3000,2,3,4,2800,2800,1, ,0
04-004-0091-001,M,33,4,10,1,10000,5000,2,3,5,7315,7315,1, ,0
04-004-0442-001,M,37,4,10,1,6000,4000,2,3,5,11500,6000,1,5499,0
04-006-0019-002,M,45,4,10,1,10000,5000,2,3,4,30000,30000,1, ,0
04-006-0037-001,M,56,5,10,1,4000,3000,2,3,5,16230,16230,1, ,0
04-009-0001-006,M,74,3,10,1,3000,2000,2,3,4,4500,1500,3,1000,1
04-009-0001-007,M,55,5,10,1,10000,5000,2,3,4,9200,9200,1, ,0
04-009-0001-013,M,39,4,10,0,5000,4000,1,3,4,4700,4250,1,2505,0
04-009-0536-001,M,55,4,10,1,4000,3000,2,3,5,4350,4350,1, ,0
04-009-0536-002,M,37,5,10,1,6000,4000,2,1,5,4500,4500,1, ,0
04-009-0936-001,M,43,2,10,1,6000,4000,1,2,4,4987,4987,1, ,0
04-009-1002-001,M,40,4,10,1,5000,3000,2,3,4,8900,4500,6,900,1
04-010-0066-001,M,61,2,10,1,4000,3500,1,2,4,2100,2100,1, ,0
04-010-0068-001,M,80,2,10,1,4000,2000,2,2,4,35000,8000,1,31994,0
04-010-0156-004,M,44,6,10,1,15000,7000,2,3,4,6140,6140,1, ,0
04-010-0161-003,M,33,4,10,1,20000,10000,2,3,4,14300,14300,1, ,0
04-010-0161-005,M,50,4,10,1,6000,5000,2,3,5,11550,8550,2,1500,1
04-010-0262-001,M,42,5,10,1,4000,3200,2,3,4,11280,11280,1, ,0
04-010-0262-002,M,40,5,10,1,3000,2500,2,3,4,11280,11280,1, ,0
04-011-0001-002,M,56,5,10,1,5000,2000,2,3,4,14040,14040,1, ,0
04-011-0001-003,M,40,3,10,0,5000,3400,2,3,5,2500,2500,1, ,0
04-011-0343-001,F,40,5,10,1,5000,3000,,,4,12500,5000,1,9999,0
04-011-0427-037,M,65,3,10,1,8000,5000,2,3,4,6500,6500,1, ,0
04-011-0427-043,M,61,2,10,1,6000,4000,2,3,4,7900,5000,2,1450,1
04-011-0835-056,M,73,4,10,1,3000,2000,2,3,4,8900,4000,12,500,1
04-011-0835-058,M,73,5,10,1,2500,1800,2,3,4,3200,1400,1,1800,0
04-011-1083-001,M,62,4,10,1,6000,4000,2,3,5,10000,10000,1, ,0
04-011-1143-015,M,25,4,10,1,3000,1500,2,3,4,8900,2500,6,1300,1
04-011-1143-016,M,25,3,10,1,3500,2000,2,3,4,3500,2000,3,500,1
04-011-1143-017,M,22,4,10,1,4000,2000,2,3,4,5800,1500,3,1433,1
04-011-1143-018,M,36,3,10,1,4000,2000,2,3,4,8900,3000,6,1145,0
04-011-1148-018,M,45,2,1,1,3000,2000,2,3,4,9200,3000,9,903,0
04-011-1183-004,M,31,3,10,1,3500,2000,,,4,5500,3000,3,1433,0
04-011-1183-005,M,55,3,10,1,15000,10000,2,3,4,12025,9000,1,3025,1
04-011-1399-002,M,33,5,10,1,3500,2500,2,3,4,3550,1500,2,1025,1
04-011-1406-044,M,42,4,10,1,3000,1000,2,3,4,4400,1467,3,978,1
04-011-1413-025,M,52,1,3.5,1,4000,2500,2,3,5,3700,3700,1, ,0
07-031-0009-001,F,35,3,10,1,2000,1200,1,3,4,2520,2520,1, ,0
07-031-0009-002,M,45,4,10,1,3000,2000,2,3,4,2520,2520,1, ,0
07-031-0009-003,F,50,1,10,1,5000,3000,2,3,4,2520,2520,1, ,0
07-031-0051-001,M,35,4,10,1,5000,3000,2,3,4,2505,2505,1, ,0
07-031-0348-001,M,39,3,10,1,3000,2000,2,3,4,3250,400,12,290,0
07-031-0348-004,M,45,4,10,1,3000,2000,2,3,4,5000,2500,5,500,1
07-052-0290-019,M,41,5,10,1,2000,1800,2,3,4,3250,800,12,250,0
07-052-0290-026,M,67,5,10,1,2000,1800,2,3,4,3800,3800,1, ,0
07-052-0290-027,M,30,5,10,1,3000,2500,2,3,4,3250,3250,1, ,0
07-052-0290-028,M,25,5,10,1,2500,2000,2,3,4,3250,3080,1, ,0
07-052-0290-029,F,35,6,10,1,2500,2000,2,3,4,3250,3080,1, ,0
07-052-0290-030,M,30,4,10,1,2500,2000,1,3,4,3250,3080,1, ,0
07-052-0290-031,M,28,4,10,1,2500,2000,2,3,4,3250,3080,1, ,0
07-052-0290-032,M,31,4,10,1,2800,2200,2,3,4,3250,3080,1, ,0
07-052-0290-033,F,43,5,10,1,3000,2500,1,2,4,3250,3080,1, ,0
07-052-0290-034,M,33,4,10,1,3000,2500,1,2,4,3250,3080,1, ,0
07-059-0001-013,F,41,4,10,1,7000,3500,2,3,4,3480,500,4,832,0
07-059-0042-006,M,35,4,10,1,3000,2000,1,3,4,9900,5000,1,4900,1
07-059-0042-008,M,41,5,10,1,2500,2000,1,2,4,3250,1500,3,583,1
07-059-0074-001,M,50,4,10,1,3000,2000,2,3,4,3300,3300,1, ,0
07-059-0763-003,F,35,4,10,1,4000,2500,2,3,4,3250,3250,1, ,0
07-059-0763-005,M,21,5,10,1,2500,1500,1,2,3,3250,3250,1, ,0
07-059-0763-006,F,50,3,10,1,2500,1800,1,2,4,3250,2500,1,750,1
07-059-0763-007,M,25,5,10,1,3000,2000,1,2,4,5150,5000,1,150,0
07-059-0974-001,M,41,4,10,1,5000,3000,2,3,4,9900,6000,6,986,1
07-059-1527-001,M,47,3,10,1,5000,2500,1,2,3,2505,1000,1,1505,0
07-059-2912-005,M,22,3,10,1,3000,2000,2,3,4,3100,3100,1, ,0
07-059-3007-001,M,30,4,3.5,0,20000,10000,2,3,4,19000,10000,1,8999,0
07-059-3045-005,F,19,4,10,1,3500,2000,2,3,4,9900,2500,9,966,0
07-100-0553-001,M,40,4,10,1,3000,2000,1,2,4,2500,2500,1, ,0
12-009-0012-001,M,69,5,10,1,2000,2000,2,3,4,4800,4800,1, ,0
12-013-0001-001,M,38,5,10,0,7000,6400,2,3,4,4100,1000,3,1150,0
12-013-0022-001,M,26,8,10,1,5000,4000,2,2,4,19600,15000,2,2300,1
12-013-0022-002,M,23,4,10,1,6000,6000,1,2,4,4050,1500,4,637,1
12-013-0022-003,M,,8,10,1,6000,6000,1,2,4,4350,1000,4,837,1
12-013-0022-004,F,41,7,10,1,6000,6000,1,2,4,5350,2000,4,837,0
12-013-0022-006,F,35,3,10,1,7000,6500,1,2,4,30000,15000,1,14999,1
12-041-0010-013,F,,6,10,1,6000,6000,1,2,4,2800,500,12,225,1
12-041-0014-002,F,53,10,10,1,3000,2400,2,3,4,3250,3250,1, ,0
12-041-0020-073,M,34,5,10,1,2500,2400,2,3,4,2500,2500,1, ,0
12-041-0172-004,M,74,1,10,1,2000,1800,2,3,4,2780,2780,1, ,0
12-043-0083-009,F,23,3,10,1,5000,5000,2,3,4,2500,450,12,200,1
12-043-0083-010,M,51,5,3.5,0,10000,10000,1,2,4,2800,2800,1, ,0
12-046-0047-001,F,63,3,10,1,1500,1400,2,3,4,2800,550,12,240,1
12-046-0047-002,F,29,4,10,1,1000,800,,3,4,2800,400,12,250,1
12-046-0047-003,M,24,5,10,1,1200,1000,2,3,4,2800,1000,3,660,1
12-052-0001-010,M,40,2,10,1,18000,18000,1,3,4,13700,15600,1, ,0
12-052-0009-032,M,49,3,10,1,5000,5000,1,2,4,2800,2800,1, ,0
12-052-0009-033,M,33,5,10,1,4000,4000,1,2,4,2800,2800,1, ,0
12-052-0043-020,M,54,5,10,1,2000,1900,2,3,4,2500,400,12,210,1
12-052-0043-022,M,32,10,10,1,2000,2000,1,3,4,4100,4100,1, ,0
12-052-0043-022,M,61,10,10,1,2500,2000,2,3,4,4100,4100,1, ,0
12-062-0001-001,F,33,4,10,1,12000,10000,2,2,4,12850,12850,1, ,0
12-063-0001-001,M,29,5,10,1,2500,2400,2,3,4,3300,3300,1, ,0
12-063-0001-002,F,37,6,10,1,2500,2400,2,3,4,3300,2050,1,1250,0
12-063-0001-003,F,72,3,10,1,3000,2800,2,3,4,9900,7900,1,2000,1
12-063-0005-003,M,48,4,10,1,2500,2000,2,3,4,3250,1500,4,437,0
12-063-0005-006,M,38,4,10,1,3000,2500,2,3,4,3250,3000,1,250,0
12-063-0005-007,M,30,2,10,1,3800,3500,2,3,4,10050,10050,1, ,0
12-063-0005-008,F,71,6,10,1,4000,3500,2,3,4,9900,5000,1,4900,1
12-063-0005-011,F,30,4,10,1,3000,2500,2,3,4,3250,800,3,817,0
12-063-0005-012,M,54,7,10,1,5000,4500,2,3,4,3250,2000,3,417,0
12-063-0005-013,M,30,5,10,1,2000,2000,2,3,5,9900,6000,3,1383,1
12-063-0005-015,F,60,2,10,1,3800,3000,2,3,4,9900,8500,1,1400,1
12-063-0005-016,F,40,6,10,1,5000,4600,1,3,4,9900,3000,3,2456,1
12-063-0008-005,F,43,6,10,1,4000,3400,2,3,4,9900,9900,1, ,0
12-063-0008-006,M,62,4,10,1,3500,3000,1,3,4,9900,9000,1,900,1
12-063-0009-002,M,39,6,10,1,3500,3300,2,3,4,4100,4100,1, ,0
12-063-0023-001,M,55,1,10,1,2000,1800,2,3,4,9900,5100,1,4800,1
12-063-0036-016,M,46,5,10,1,3000,2500,1,3,4,9900,2500,3,2633,1
12-063-0050-001,M,28,3,10,1,3000,2500,2,3,4,3250,400,6,558,0
12-069-0001-001,F,35,5,10,1,3000,2500,1,3,4,4600,2000,1,2600,1
12-076-0099-020,M,30,2,10,1,1500,1400,2,3,4,3250,3250,1, ,0
12-076-0104-001,M,47,4,10,1,3000,2800,1,2,4,4100,2000,1,2100,1
12-078-0004-025,F,73,5,10,1,1800,1500,2,3,5,3250,3250,1, ,0
20-041-0003-005,F,54,3,10,1,400,350,1,2,4,1800,500,12,128,0
20-041-0004-004,M,47,5,10,1,900,600,2,3,4,1800,1800,1, ,0
20-041-0004-007,F,53,3,10,1,1100,1000,2,3,4,1800,1800,1, ,0
20-041-0004-008,M,50,4,10,1,1600,1500,2,3,5,1800,1800,1, ,0
20-041-0051-005,F,70,3,10,1,400,300,2,3,4,1800,500,12,128,0
20-041-0051-006,M,49,1,10,1,1300,1000,2,2,3,1800,300,12,150,0
20-041-0051-007,M,68,2,10,1,300,200,2,3,5,1800,1800,1, ,1
20-041-0051-008,M,57,6,10,1,800,650,2,3,4,1800,300,12,150,0
20-041-0051-010,M,64,3,10,1,800,600,2,3,4,1800,400,12,140,0
20-041-0051-011,F,70,1,10,1,450,250,2,3,4,1800,500,12,128,0
20-058-0139-006,F,70,3,10,1,1000,750,2,3,4,1800,300,12,145,0
20-058-0139-011,F,44,6,10,1,600,1000,2,3,4,1800,300,1,1500,0
20-171-0028-019,F,45,5,10,1,500,700,2,3,4,1800,300,1,1500,0
20-171-0028-020,F,35,2,10,1,500,300,2,3,4,1800,300,1,1500,0
20-171-0028-022,M,42,3,10,1,900,700,1,3,4,1800,300,1,1500,0
20-171-0028-023,F,32,6,10,1,400,600,1,3,4,1800,300,1,1500,0
20-171-0028-027,F,65,3,10,1,600,500,1,3,4,1800,300,1,1500,0
20-171-0043-013,M,101,3,10,1,200,200,2,3,4,1800,1000,12,80,0
20-171-0043-017,M,75,2,10,1,700,600,2,2,4,1800,500,12,128,0
20-171-0044-022,F,37,4,10,1,500,400,2,3,4,1800,500,12,128,0
20-171-0044-024,F,50,5,10,1,1200,1500,0,3,3,1800,500,12,128,0
20-171-0065-001,F,66,2,10,1,500,300,1,2,4,1850,1850,12, ,0
20-171-0065-002,F,35,7,10,1,500,350,1,2,4,1800,500,12,128,0
20-171-0065-003,M,33,3,10,1,3000,1500,1,2,4,1800,1800,1, ,0
20-171-0077-027,F,54,1,10,1,2000,2000,2,3,4,1800,1800,1, ,0
20-171-0077-031,F,70,2,10,1,1600,1600,1,3,4,1800,500,12,128,0
20-171-0077-032,F,55,3,10,1,600,550,2,3,4,1800,500,12,128,0
20-171-0077-035,M,77,3,10,1,600,600,2,3,4,1800,500,12,128,0
20-171-0079-002,F,56,9,10,1,1000,1000,2,3,4,1800,500,12,128,0
20-171-0079-007,M,93,2,10,1,1000,800,1,3,5,1800,1800,1, ,0
20-171-0079-008,M,43,4,10,1,800,600,2,3,5,1800,1800,1, ,0
20-171-0087-009,M,65,2,10,1,800,700,2,3,3,1800,1800,1, ,0
20-171-0087-016,F,45,5,10,1,1200,900,2,3,4,1800,1000,12,80,0
20-171-0092-002,M,60,2,10,1,2100,1800,1,2,4,1800,1800,1, ,0
20-171-0129-004,M,64,2,10,1,1300,1300,2,2,4,1800,1800,1, ,0
20-171-0129-013,F,59,4,10,1,1700,1700,1,2,3,1800,500,12,128,1
20-171-0129-014,F,33,7,10,1,500,500,2,2,4,1800,1800,1, ,0
20-171-0171-014,M,67,2,10,1,900,500,2,3,4,1800,1800,1, ,1
20-171-0183-001,M,66,4,10,1,500,300,2,3,4,1800,500,12,128,0
20-171-0183-004,F,30,5,10,1,600,400,1,3,4,1850,550,12,128,0
20-171-0183-006,M,31,5,10,1,500,400,1,3,4,1800,500,12,128,0
20-171-0183-010,F,78,4,10,1,500,400,2,3,4,1800,500,12,128,0
20-171-0183-013,F,75,4,10,1,500,400,2,3,4,1800,1800,1, ,0
20-171-0183-014,F,35,4,10,1,500,400,2,3,4,1800,1800,1, ,0
20-171-0183-020,M,57,3,10,1,800,600,2,3,4,1800,1800,1, ,0
20-334-0079-001,F,34,3,10,1,6000,5800,1,3,5,15000,15000,1, ,0
20-404-0044-013,F,54,2,10,1,600,400,1,2,4,1800,300,12,145,1
20-404-0054-002,M,44,2,1,1,1500,1300,1,3,3,1850,550,12,128,0
20-404-0054-017,M,58,3,10,1,900,750,2,3,4,1800,1800,1, ,0
20-404-0066-005,F,41,6,10,1,500,500,2,2,5,1800,1800,1, ,0
20-404-0067-003,F,47,4,10,1,1200,900,2,2,4,1800,300,12,145,1
20-404-0067-024,M,42,4,10,1,700,500,2,3,4,1800,500,12,128,0
20-404-0069-002,M,37,4,10,1,300,300,1,3,3,1800,500,12,128,0
20-404-0069-006,F,49,5,10,1,900,800,2,3,4,1800,1800,1, ,0
20-404-0069-007,F,23,5,10,1,450,400,2,3,4,1800,1800,1, ,0
20-404-0069-008,F,77,2,10,1,450,400,2,3,4,1800,500,12,128,0
20-404-0069-012,F,36,6,10,1,950,400,2,3,4,1800,500,12,128,0
20-404-0069-014,M,53,5,10,1,1200,1000,2,3,5,1800,1800,1, ,0
20-404-0069-015,F,28,3,10,1,2500,2000,2,3,5,1800,1800,1, ,0
20-404-0069-017,M,54,2,10,1,600,500,2,3,5,1800,1800,1, ,0
20-404-0074-005,M,40,4,10,1,1500,1250,2,3,4,1800,1800,1, ,0
20-404-0074-007,F,45,3,10,1,450,300,2,3,4,1800,1800,1, ,0
20-404-0074-008,F,47,6,10,1,900,600,2,3,4,1800,500,12,128,0
20-404-0074-011,M,40,4,10,1,1200,600,2,3,4,1800,1800,1, ,0
20-404-0074-013,M,44,3,10,1,700,500,2,3,4,1800,500,12,128,0
20-404-0074-014,F,48,3,10,1,1000,700,2,3,4,1800,1800,1, ,0
20-404-0074-015,F,54,4,10,1,700,500,2,3,5,1800,1800,1, ,0
20-404-0074-016,F,59,3,10,1,600,500,2,2,5,1800,1800,1, ,0
20-404-0074-017,F,75,2,10,1,500,500,2,3,5,1800,1800,1, ,0
20-404-0109-001,M,40,3,10,1,600,500,2,3,4,1800,1800,1, ,0
20-404-0109-003,M,71,3,10,1,700,250,2,3,4,1800,1800,1, ,0
20-404-0109-007,F,25,2,10,1,100,50,2,3,4,1800,1800,1, ,0
20-404-0109-008,F,37,2,10,1,100,100,2,3,4,1800,1800,1, ,0
20-404-0109-016,M,70,4,10,1,1400,800,2,3,4,1800,500,12,128,0
20-404-0109-020,M,62,3,10,1,600,400,2,3,5,1800,1800,1, ,0
21-064-0177-005,F,35,5,10,1,3500,1500,1,2,3,4630,1157,4,868,1
21-064-0177-007,M,23,2,10,1,3000,1000,1,2,4,4150,3000,4,287,0
30-109-0070-002,M,26,3,10,1,2500,1000,1,2,3,4140,1700,3,889,1
30-131-0001-002,M,65,4,1,0,7000,4000,1,3,4,10500,10500,1, ,0
30-158-0001-008,M,56,2,10,1,3500,1300,2,3,4,5450,1309,3,1380,1
30-175-0087-001,M,60,5,10,1,4000,2000,1,2,3,9200,2500,12,720,0
30-175-0087-002,M,60,4,1,0,6500,3600,2,3,4,5150,5150,1, ,0
30-175-0089-165,F,52,4,3.5,0,4200,3500,2,3,4,4150,1300,3,950,0
30-175-0272-011,F,50,4,10,1,5000,2000,1,2,4,2800,2800,1, ,0
30-175-0323-001,M,60,3,10,0,7000,4800,1,2,4,3450,1500,3,765,0
30-175-0527-001,M,36,4,3.5,0,6000,3000,1,2,4,10500,3500,3,2550,1
30-175-0527-002,F,26,3,1,0,5000,3500,1,2,4,3250,600,6,497,0
30-189-0001-002,M,50,5,10,1,8000,2500,1,2,4,8550,5000,1,3550,1
30-189-0091-001,M,42,5,3.5,0,7000,2500,1,2,3,8900,2500,12,790,1
30-189-0714-015,M,41,5,10,1,4000,2500,1,2,4,2800,200,12,270,1
30-189-0714-017,F,50,4,10,0,3000,1600,1,2,4,2800,250,12,270,0
30-189-0714-021,F,47,4,10,1,4000,2000,1,2,3,2800,200,12,270,0
30-189-0714-022,M,45,3,1,0,4000,2000,1,2,3,2800,400,3,860,1
30-189-0714-023,M,37,5,1,0,5000,4500,1,2,4,3250,3250,1, ,0
30-189-0714-024,M,33,5,1,0,8000,4000,1,2,4,3300,400,12,290,1
30-189-0714-025,F,29,4,10,0,5500,3500,1,3,4,3250,400,3,1015,1
